localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:03:01] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=14maosk08l3vy8i4o8bxqb3as"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:03:33] "GET /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=14maosk08l3vy8i4o8bxqb3as"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:03:33] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=14maosk08l3vy8i4o8bxqb3as"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:03:35] "GET /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=14maosk08l3vy8i4o8bxqb3as"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:03:35] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=14maosk08l3vy8i4o8bxqb3as"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:03:36] "GET /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=14maosk08l3vy8i4o8bxqb3as"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:03:36] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=14maosk08l3vy8i4o8bxqb3as"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:05:15] "GET /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=14maosk08l3vy8i4o8bxqb3as"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:05:16] "GET /BBSS/resources/Font-Awesome/css/bootstrap.min.css HTTP/1.1" 404 333 "http://localhost:8081/BBSS/addBook" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=m76w1clr5e1v129kmn8kruce"
localhost 0:0:0:0:0:0:0:1 - - [2015-09-17 23:05:46] "GET /BBSS/addBook HTTP/1.1" 200 - "http://localhost:8081/BBSS/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36" "JSESSIONID=m76w1clr5e1v129kmn8kruce"
